jd,theta_na,theta_sa,r
2269249.500000,223.418086,240.311200,0.985920
2269250.500000,224.432018,241.325170,0.985765
2269251.500000,225.446340,242.339530,0.985614
2269252.500000,226.461048,243.354277,0.985468
2269253.500000,227.476135,244.369401,0.985326
2269254.500000,228.491591,245.384895,0.985187
2269255.500000,229.507405,246.400748,0.985052
2269256.500000,230.523563,247.416944,0.984920
2269257.500000,231.540042,248.433461,0.984792
2269258.500000,232.556815,249.450272,0.984666
2269259.500000,233.573844,250.467339,0.984544
2269260.500000,234.591090,251.484623,0.984425
2269261.500000,235.608512,252.502084,0.984309
2269262.500000,236.626076,253.519686,0.984197
2269263.500000,237.643757,254.537405,0.984089
2269264.500000,238.661540,255.555226,0.983986
2269265.500000,239.679419,256.573143,0.983887
2269266.500000,240.697393,257.591155,0.983794
2269267.500000,241.715466,258.609267,0.983706
2269268.500000,242.733645,259.627484,0.983624
2269269.500000,243.751936,260.645812,0.983547
2269270.500000,244.770342,261.664257,0.983477
2269271.500000,245.788868,262.682821,0.983414
2269272.500000,246.807515,263.701507,0.983356
2269273.500000,247.826283,264.720312,0.983305
2269274.500000,248.845168,265.739236,0.983260
2269275.500000,249.864171,266.758277,0.983222
2269276.500000,250.883288,267.777432,0.983189
2269277.500000,251.902517,268.796699,0.983163
2269278.500000,252.921859,269.816079,0.983142
2269279.500000,253.941310,270.835568,0.983127
2269280.500000,254.960870,271.855167,0.983117
2269281.500000,255.980537,272.874872,0.983113
2269282.500000,257.000306,273.894678,0.983113
2269283.500000,258.020168,274.914579,0.983118
2269284.500000,259.040111,275.934560,0.983128
2269285.500000,260.060114,276.954602,0.983141
2269286.500000,261.080148,277.974673,0.983158
2269287.500000,262.100173,278.994736,0.983179
2269288.500000,263.120146,280.014748,0.983203
2269289.500000,264.140025,281.034665,0.983231
2269290.500000,265.159773,282.054451,0.983263
2269291.500000,266.179363,283.074079,0.983298
2269292.500000,267.198775,284.093529,0.983338
2269293.500000,268.218000,285.112792,0.983383
2269294.500000,269.237031,286.131861,0.983432
2269295.500000,270.255864,287.150732,0.983487
2269296.500000,271.274496,288.169403,0.983547
2269297.500000,272.292928,289.187872,0.983612
2269298.500000,273.311156,290.206140,0.983684
2269299.500000,274.329182,291.224203,0.983761
2269300.500000,275.347004,292.242063,0.983845
2269301.500000,276.364620,293.259718,0.983934
2269302.500000,277.382031,294.277167,0.984030
2269303.500000,278.399236,295.294410,0.984132
2269304.500000,279.416236,296.311448,0.984240
2269305.500000,280.433035,297.328285,0.984353
2269306.500000,281.449635,298.344923,0.984473
2269307.500000,282.466043,299.361369,0.984598
2269308.500000,283.482264,300.377628,0.984728
2269309.500000,284.498301,301.393704,0.984864
2269310.500000,285.514159,302.409600,0.985004
2269311.500000,286.529834,303.425313,0.985149
2269312.500000,287.545319,304.440836,0.985297
2269313.500000,288.560597,305.456153,0.985450
2269314.500000,289.575644,306.471238,0.985606
2269315.500000,290.590424,307.486056,0.985764
2269316.500000,291.604899,308.500569,0.985926
2269317.500000,292.619028,309.514736,0.986091
2269318.500000,293.632780,310.528526,0.986258
2269319.500000,294.646129,311.541913,0.986428
2269320.500000,295.659056,312.554878,0.986600
2269321.500000,296.671550,313.567410,0.986776
2269322.500000,297.683599,314.579498,0.986955
2269323.500000,298.695196,315.591132,0.987138
2269324.500000,299.706331,316.602306,0.987324
2269325.500000,300.717000,317.613013,0.987515
2269326.500000,301.727198,318.623249,0.987710
2269327.500000,302.736920,319.633010,0.987909
2269328.500000,303.746167,320.642294,0.988112
2269329.500000,304.754937,321.651103,0.988320
2269330.500000,305.763233,322.659437,0.988533
2269331.500000,306.771057,323.667299,0.988750
2269332.500000,307.778415,324.674695,0.988972
2269333.500000,308.785315,325.681633,0.989198
2269334.500000,309.791768,326.688125,0.989429
2269335.500000,310.797787,327.694181,0.989664
2269336.500000,311.803384,328.699817,0.989903
2269337.500000,312.808573,329.705044,0.990146
2269338.500000,313.813364,330.709873,0.990393
2269339.500000,314.817763,331.714310,0.990642
2269340.500000,315.821770,332.718355,0.990895
2269341.500000,316.825376,333.721999,0.991150
2269342.500000,317.828563,334.725225,0.991407
2269343.500000,318.831307,335.728006,0.991665
2269344.500000,319.833576,336.730314,0.991925
2269345.500000,320.835342,337.732118,0.992185
2269346.500000,321.836580,338.733395,0.992446
2269347.500000,322.837271,339.734123,0.992708
2269348.500000,323.837400,340.734290,0.992971
2269349.500000,324.836955,341.733883,0.993235
2269350.500000,325.835924,342.732890,0.993499
2269351.500000,326.834295,343.731300,0.993765
2269352.500000,327.832059,344.729102,0.994031
2269353.500000,328.829206,345.726287,0.994299
2269354.500000,329.825730,346.722849,0.994569
2269355.500000,330.821625,347.718783,0.994841
2269356.500000,331.816892,348.714088,0.995115
